;Tourist_Spot;Address;Zipcode;Lat;Long;Rating
48;Flushing Meadows Corona Park;111th Street to Van Wyck Expressway Queens, NY 11375, Flushing;11375;40.7400275;-73.8406953;4.6
49;Fort Tryon Park;Between Riverside Drive, Broadway, Dyckman Street and West 192nd Street New York, NY 10040, Washington Heights/Inwood;10040;40.8625608;-73.9312995;4.7
50;Governors Island;Governors Island New York, NY 10004, Governors Island;10004;40.7009894;-74.01178829999999;4.6
51;Gramercy Park;E 20th St to E 21st St bet Gramercy Park West and Gramercy Park East Manhattan, NY 10010, Gramercy;10010;40.7373626;-73.9838874;4.0
52;Grand Army Plaza;Fifth Avenue and W 59th Street Manhattan, NY, Midtown East;10019;40.7646959;-73.9731439;4.6
53;Grand Army Plaza Memorial Arch;Grand Army Plaza at Eastern Parkway Brooklyn, NY 11238, Prospect Heights;11238;40.6740248;-73.9701254;4.5
54;Grand Central Terminal;15 Vanderbilt Ave., Hall 2A Manhattan, NY 10017, Midtown East;10017;40.7527262;-73.9772294;4.7
55;Green-Wood Cemetery;500 25th St. Brooklyn, NY 11232, Sunset Park;11232;40.6579777;-73.9940634;4.7
56;Greenbelt Nature Center;700 Rockland Ave Staten Island, NY 10314, New Dorp;10314;40.5884511;-74.13916669999999;4.7
57;Gulliver's Gate;216 W. 44th St. Manhattan, NY 10036 Times Square/Theatre District;10036;40.7606171;-73.9862864;3.3
58;Hell Gate Bridge;Hell gate bridge Manhattan, NY, South Bronx;11105;40.7825959;-73.9219127;4.6
59;Hershey's Chocolate World Times Square;1593 Broadway Manhattan, NY 10019, Times Square/Theatre District;10019;40.7593411;-73.9843095;4.6
60;Historic Richmond Town;441 Clarke Ave. Staten Island, NY 10306 Richmond Town;10306;40.5709205;-74.1456038;4.5
61;Holographic Studios;240 E. 26th St. New York, NY 10010, Chelsea;10010;40.7399148;-73.980104;4.7
62;Hunters Point Community Library;47 Center Blvd. Queens, NY 11101;11101;40.7453222;-73.9580667;3.6
63;Intrepid Sea, Air & Space Museum;Pier 86, Twelfth Ave. at 46th St. Manhattan, NY 10036, Hells Kitchen;10036;40.7645266;-73.99960759999999;4.6
64;Irish Hunger Memorial;290 Vesey St Manhattan, NY 10281, Battery Park City;10281;40.7150615;-74.01636810000001;4.7
