;Tourist_Spot;Address;Zipcode;Lat;Long;Rating
214;Madame Tussauds New York;234 W. 42nd St. Manhattan, NY 10036, Times Square/Theatre District;10036;40.7564269;-73.9888338;4.4
215;Whitney Museum of American Art;99 Gansevoort St. Manhattan, NY 10014, Meatpacking District;10014;40.7395877;-74.0088629;4.5
216;Coney Island History Project;Deno's Wonder Wheel Amusement Park, 3059 W. 12th St. Brooklyn, NY 11224, Coney Island;11224;40.57333089999999;-73.9791552;4.5
217;United Palace Theatre;4140 Broadway Manhattan, NY 10033, Washington Heights/Inwood;10033;40.846539;-73.9379235;4.5
218;Central Park;Between Fifth Ave. and Central Park West Manhattan, NY 10024, Central Park;10024;40.7812199;-73.9665138;4.8
219;Bank of America Winter Village at Bryant Park;Bryant Park, 42nd St. and 6th Ave. Manhattan, NY 10018, Midtown West;10018;40.7539575;-73.9841871;4.6
220;New York City Ballet;David H. Koch Theater, 20 Lincoln Center Plaza Manhattan, NY 10023, Upper West Side;10023;40.7718737;-73.9836184;4.8
221;Museum of Sex;233 Fifth Ave. Manhattan, NY 10016, NoMad;10016;40.7440291;-73.9872529;4.2
222;Coney Island;Surf Avenue Brooklyn, NY 11224, Coney Island;11224;40.5749391;-73.9812657;4.0
223;Unbreakable Kimmy Schmidt Apartment;74 Freeman St. Brooklyn, NY 11222, Greenpoint;11222;;;
224;Bryant Park;Sixth Ave. between 40th and 42nd Sts. Manhattan, NY Midtown West;10018;40.7548368;-73.9841215;4.1
225;New York Rangers;Madison Square Garden, Seventh Ave. betw. 31st and 33rd Sts. Manhattan, NY 10001, Midtown West;10001;40.7505045;-73.9934387;4.7
226;Citi Field;126th St. and Roosevelt Ave. Flushing, NY 11368, Flushing;11368;40.7570877;-73.8458213;4.6
227;Queens Botanical Garden;43-50 Main St. Queens, NY 11355, Flushing;11355;40.75123929999999;-73.8261905;4.3
228;Prospect Park Bandshell;Prospect Park West Brooklyn, NY 11217, Park Slope;11217;40.6602037;-73.9689558;4.7
229;Prospect Park Concert Grove;Parkside and Ocean Avenues entrance Brooklyn, NY 11225, Park Slope;11225;40.6602037;-73.9689558;4.7
230;The Mall and Literary Walk;Mid-park bet 66th and 72nd Sts Manhattan, NY 10022, Central Park;10022;;;
231;IFC Center;323 Sixth Ave. New York, NY 10014, West Village;10014;40.7312056;-74.0016722;4.5
232;Andrew Heiskell Braille and Talking Book Library;40 W 20th St # 1 New York, NY 10011, Chelsea;10011;40.74047849999999;-73.9933635;4.0
233;Brooklyn Borough Hall;209 Joralemon St Brooklyn, NY 11209, Downtown Brooklyn;11209;40.6928442;-73.990303;4.5
234;New York Aquarium;602 Surf Ave. Brooklyn, NY 11224, Coney Island;11224;40.5742667;-73.97492369999999;4.2
235;Yankee Stadium;1 E. 161st St. Bronx, NY 10451, South Bronx;10451;40.8296426;-73.9261745;4.6
236;High Bridge;Amsterdam Avenue and West 172nd Street Manhattan, NY 10032, Washington Heights/Inwood;10032;;;
237;One World Trade Center;1 World Trade Center Manhattan, NY 10007, Lower Manhattan;10007;40.7127431;-74.0133795;4.7
238;9/11 Memorial Museum Store;20 Vesey St. Manhattan, NY 10007, Lower Manhattan;10007;40.7114147;-74.0124786;4.8
239;Madison Square Park;23rd to 26th Sts. (bet. Fifth and Madison Aves.) Manhattan, NY 10010, Flatiron District;10010;40.7421893;-73.98799129999999;4.6
240;New York Philharmonic;David Geffen Hall (formerly Avery Fisher), 10 Lincoln Center Plaza Manhattan, NY 10023, Upper West Side;10023;40.7728691;-73.9831009;4.7
241;Gracie Mansion;East End Ave Manhattan, NY 10128, Upper East Side;10128;40.77614370000001;-73.943113;4.2
242;Trinity Wall Street;Broadway at Wall St. Manhattan, NY 10006, Lower Manhattan;10006;40.7079928;-74.011594;4.6
243;Brooklyn Cyclones;MCU Park, 1904 Surf Ave. Brooklyn, NY 11224, Coney Island;11224;40.5746867;-73.9845453;4.5
244;Bronx Zoo Treetop Adventure;Bronx, NY 10460, Fordham;10460;40.8523658;-73.8741052;4.6
245;West 4th Street Courts;Sixth Ave. Manhattan, NY 10011, Greenwich Village;10011;40.7312111;-74.0008609;4.6
246;Staten Island Yankees;Richmond County Bank Ballpark, 75 Richmond Terr. Staten Island, NY 10301, St. George;10301;40.6455625;-74.07719349999999;4.5
247;Manhattan by Sail;"Locations: N. Cove Marina, Brookfield Place (Liberty St.–Hudson River), Manhattan 10007; ";10007;;;
248;Manhattan by Sail;inside Battery Park at the Hudson River (enter across from 17 State St.) Manhattan, NY 10004, Battery Park City;10004;;;
249;Museum of American Finance;48 Wall St. Manhattan, NY 10005, Lower Manhattan;10005;40.7073993;-74.0102088;4.5
250;New York Stock Exchange;11 Wall St. Manhattan, NY 10005, Lower Manhattan;10005;40.706877;-74.0112654;4.3
251;Hook & Ladder Company 8;14 N. Moore St. Manhattan, NY 10013, Tribeca;10013;40.719559;-74.0066219;4.5
252;Grand Masonic Lodge of New York;71 W. 23rd St. Manhattan, NY 10010, Chelsea;10010;40.7429639;-73.9922766;4.8
253;St. Mark’s Place;113 St Marks Pl, New York City, NY 10009-5161;10009;40.7292529;-73.9885989;1.0
254;Franklin D. Roosevelt Four Freedoms Park;1 FDR Four Freedoms Park, E. Rd. S. of Rd. 3 Manhattan, NY 10044, Roosevelt Island;10044;40.7506105;-73.96052399999999;4.7
255;Gray Line CitySightseeing New York Bus Tours;777 Eighth Ave. Manhattan, NY 10036, Times Square/Theatre District;10036;;;
256;Abracadabra Superstore;19 W 21st St Manhattan , NY 10010, Chelsea;10010;40.740934;-73.9918788;4.5
257;Brooklyn Brewery;79 N. 11th St. Brooklyn, NY 11211, Williamsburg;11211;40.7217625;-73.9577086;4.5
258;Kingsland Homestead;143-35 37th Ave. Queens, NY 11354, Flushing;11354;40.7635681;-73.8241305;4.6
259;French Institute Alliance Française;22 E. 60th St. Manhattan, NY 10022, Upper East Side;10022;40.763826;-73.9703237;4.5
260;Commodore Barry Park;Nassau Street (bet. Navy St. and N. Elliot Place) Brooklyn, NY 11201, Fort Greene;11201;;;
261;Saint Augustine's Episcopal Church;290 Henry St Manhattan, NY 10002, Lower East Side;10002;40.7138689;-73.98318499999999;4.3
262;Casa Belvedere;79 Howard Ave. Staten Island, NY 10301, St. George;10301;40.6284634;-74.0880772;4.7
263;Merchant's House Museum;29 E. 4th St. Manhattan, NY 10003, Greenwich Village;10003;40.72766499999999;-73.99234;4.7
264;Kissena Park;164th St and Oak Ave Queens, NY 11358, Flushing;11358;40.74611910000001;-73.8076036;4.5
265;Alley Pond Park;22806 Northern Blvd  Alley Pond Environmental Center Queens, NY 11363, Bayside;11363;40.7403396;-73.74741019999999;4.7
266;The Battery;Enter on State Street or Battery Place Manhattan, NY 10004, Battery Park City;10004;40.70293119999999;-74.0153603;4.6
267;Emmanuel Baptist Church;279 Lafayette Ave Brooklyn, NY 11238, Fort Greene;11238;40.6884144;-73.9650896;4.8
268;UNICEF House—Danny Kaye Visitors Centre;3 U.N. Plaza, 44th St. btw. First & Second Aves. Manhattan, NY 10016, Midtown East;10016;;;
269;St. Ann & The Holy Trinity Church;157 Montague St Brooklyn, NY, Brooklyn Heights;11201;40.69450519999999;-73.99246889999999;4.7
270;Hoodwinked Escape;151 W. 116th St. Manhattan, NY 10026, Harlem;10026;40.8032172;-73.9521093;4.6
271;Flatbush Dutch Reformed Church;890 Flatbush Ave Brooklyn, NY 11226, Flatbush;11226;40.6501603;-73.9588287;4.1
272;Staten Island Supreme Courthouse;18 Richmond Terrace Staten Island, NY 10301, St. George;10301;40.6408168;-74.07759399999999;3.9
273;Adam Yauch Park;Atlantic Avenue at Columbia Place Brooklyn, NY 11201, Brooklyn Heights;11201;40.6920679;-73.99888299999999;4.5
274;Islamic Cultural Center of New York;1711 3rd Avenue New York, NY 10029, Upper East Side;10029;40.7855765;-73.9485819;4.4
275;Roosevelt House Public Policy Institute at Hunter College;47-49 E. 65th St. Manhattan, NY 10065, Upper East Side;10065;40.7671206;-73.96767919999999;4.7
276;Old Quaker Meeting House;137-16 Northern Blvd. Queens, NY 11354, Flushing;11354;40.76300699999999;-73.83034359999999;4.8
277;Go Select NYC;Official NYC Information Center, 810 Seventh Ave. Manhattan, NY 10019, Times Square/Theatre District;10019;;;
278;Weeksville Heritage Center;158 Buffalo Ave Brooklyn, NY 11213 Bedford-Stuyvesant;11213;40.67398370000001;-73.92522509999999;4.6
279;The Sightseeing Pass;777 Eighth Ave. Manhattan, NY 10036, Times Square/Theatre District;10036;;;
280;Hudson Yards New York;New York, NY 10001, Midtown West;10001;40.7560744;-74.00347959999999;0.0
281;Castle Clinton National Monument;Castle Clinton National Monument, 17 Battery Pl. Manhattan, NY 10005-1996, Battery Park City;10005-1996;40.7034401;-74.0168023;4.4
282;34th Street Partnership;mail: 1065 Sixth Ave., ste. 2400 New York, NY 10018 , Midtown West;10018;40.7539141;-73.9853115;4.2
283;General Grant National Memorial;Riverside Dr and 122nd St Manhattan, NY 10027, Morningside Heights;10027;40.8134045;-73.9630671;4.5
284;Pier 25, Hudson River Park;225 West St. Manhattan, NY 10013, Tribeca ;10013;40.7203108;-74.01434499999999;4.7
285;55 Central Park West;55 Central Park West New York, NY 10023, Upper West Side;10023;40.7722715;-73.9790704;5.0
286;Sara D. Roosevelt Park;East Houston Street to Canal Street (bet. Forsyth and Chrystie Sts.) Manhattan, NY 10002, Lower East Side;10002;40.7217408;-73.9915425;4.0
287;Central Park Arsenal;East side of the park at Fifth Ave and 64th St Manhattan, NY 10065, Central Park;10065;40.767686;-73.97117990000001;4.4
288;InterChurch Center;475 Riverside Dr., rm. 253 Manhattan, NY 10115, Morningside Heights;10115;40.8107177;-73.9634758;4.5
289;Sakura Park;W 122nd St and Riverside Dr Manhattan, NY 10027, Morningside Heights;10027;40.8127856;-73.9622491;4.5
290;Pelham Bay Park;Bruckner Blvd and Westchester Ave Bronx, NY 10461, Pelham Bay;10461;40.85293069999999;-73.8270555;4.2
291;Hudson River Park;West Side Highway, bet. Battery Place and W. 59th St. Manhattan, NY 10014, Manhattan;10014;40.7330699;-74.011028;4.7
292;LIC Flea & Food;5-25 46th Ave. Queens, NY 11101, Long Island City;11101;40.7475414;-73.9543394;3.8
293;Grant's Tomb;Riverside Drive and West 122nd Street Manhattan, NY 10027, Morningside Heights;10027;40.8134045;-73.9630671;4.5
294;Gravesend Cemetery;Ave V and Van Sicklen St Brooklyn, NY 11223, Gravesend;11223;40.5947408;-73.97446289999999;4.7
295;Piers 92/94 New York;711 Twelfth Ave. Manhattan, NY 10019, Midtown West;10019;40.7683725;-73.9962852;4.3
296;New York Marble Cemetery;41 1/2 Second Ave Manhattan, NY 10003, Lower East Side;10003;40.725612;-73.9909457;4.4
297;New York City AIDS Memorial;200-218 West 12th Street New York, NY 10011, West Village;10011;40.737406;-74.0014307;4.6
298;Peter Jay Sharp Theater at Julliard;155 W. 65th St. Manhattan, NY 10023, Upper West Side;10023;40.7737547;-73.9833998;4.8
299;Chester A. Arthur House;123 Lexington Ave. Manhattan, NY 10016, Midtown East;10016;40.7428025;-73.9821796;4.7
300;Chateau Stables;608 W. 48th St. New York, NY 10036, Hells Kitchen;10036;40.7642236;-73.99517279999999;4.9
301;LIC Beer Project;39-28 23rd Street NY 11101, Long Island City;11101;40.7547369;-73.9392462;4.6
302;Central Park's Rumsey Playfield;14 E 71st St, New York, NY 10021;10021;40.7725815;-73.9702143;4.5
303;Christie’s Auction House;20 Rockefeller Plaza New York, NY 10020, Midtown West;10020;40.75857500000001;-73.980023;4.6
304;Lasker Rink;830 5th Avenue New York, NY 10065, Central Park;10065;40.7961289;-73.9549593;4.1
305;Marble Collegiate Church;1 W. 29th St. Manhattan, NY 10001, NoMad;10001;40.7455677;-73.9869088;4.6
306;Riverdale Park;West 254 Street Bronx, NY 10463, Riverdale;10463;40.8947402;-73.91680319999999;4.5
307;Brooklyn Army Terminal;140 58th St. Brooklyn, NY 11220, Sunset Park;11220;40.6447867;-74.025042;4.5
308;NYC Department of Records and Information Services;Visitor Center, 31 Chambers St., rm. 112 Manhattan, NY 10007, Lower Manhattan;10007;;;
309;City Ice Pavilion;47-32 32nd Place Queens, NY 11101, Long Island City;11101;40.7416445;-73.93348870000001;4.3
310;Floyd Bennett Field;50 Aviation Road Brooklyn, NY 11234, Brooklyn;11234;40.5910174;-73.89060909999999;4.5
311;69th Regiment Armory;68 Lexington Ave Manhattan, NY Midtown East;10010;40.7412213;-73.98388059999999;4.4
312;Federal Hall National Memorial;26 Wall St Manhattan, NY 10005, Lower Manhattan;10005;40.7073993;-74.0102088;4.5
313;Scandinavia House: The Nordic Center in America;58 Park Ave. Manhattan, NY 10016, Murray Hill;10016;40.74944;-73.9800649;4.5
314;NYRR RunCenter Featuring the New Balance Run Hub;320 W. 57th St. Manhattan, NY 10019, Midtown West;10019;40.7669722;-73.9839611;4.7
315;Bowling Green Park;Broadway and Whitehall St Manhattan, NY 10004, Lower Manhattan;10004;40.7049774;-74.0136509;4.5
316;New York City Horse Carriages;Pickup location: 59th St. btw. Fifth & Sixth Aves. opposite plaza hotel Manhattan, NY --, Central Park;10019;40.764656;-73.9744408;4.5
317;New York Public Library for the Performing Arts;40 Lincoln Center Plaza Manhattan, NY 10023, Upper West Side;10023;40.7734129;-73.9847291;4.7
318;Empire Stores;53-83 Water Street NY 11201, DUMBO;11201;40.7033814;-73.9916008;4.5
319;Central Park Bandshell;Mid-park, 66th to 72nd Sts Manhattan, NY, Central Park;10019;40.7812199;-73.9665138;4.8
320;The Players Theatre;115 Macdougal St. Manhattan, NY 10012, Greenwich Village;10012;40.7300972;-74.0005408;4.4
321;Lefferts Historic House;452 Flatbush Ave, Brooklyn, NY 11225;11225;40.6643664;-73.96370759999999;4.6
322;Ford Amphitheater at Coney Island Boardwalk;3052 W. 21st St. Brooklyn, NY 11224, Coney Island;11224;40.5725321;-73.98769469999999;4.4
323;MetLife Building;200 Park Ave. Manhattan, NY 10166, Midtown East;10166;40.7535178;-73.9767512;4.5
324;Valentine-Varian House;3266 Bainbridge Ave. Bronx, NY 10458, The Bronx;10458;40.8773882;-73.8794419;4.5
325;Bronx Council on the Arts;1738 Hone Ave. Bronx, NY 10461, The Bronx;10461;40.842593;-73.8459192;4.3
326;NFL Experience Times Square;20 Times Square, 701 Seventh Ave. Manhattan, NY 10036, Times Square/Theatre District;10036;40.75930169999999;-73.98426119999999;4.5
327;Randall's Island Park;East and Harlem Rivers Manhattan, NY 10035, Randalls Island;10035;40.795813;-73.922517;4.4
328;Ed Sullivan Theater;1697 Broadway Manhattan, NY 10019, Midtown West;10019;40.7637699;-73.982904;4.7
329;Essex Street Market;120 Essex St. Manhattan, NY 10002, Lower East Side;10002;40.7180004;-73.98819;4.5
330;The Conference House Museum;298 Satterlee St Staten Island, 10307, Tottenville;10307;40.5005834;-74.2512474;4.6
331;Pier 45;Enter at Christopher St and the West Side Highway Manhattan, NY 10014, West Village;10014;40.7331473;-74.011326;4.8
332;Riverbank State Park Ice Rink;679 Riverside Dr. Manhattan, NY 10031, Harlem;10031;40.8264062;-73.9557669;4.4
333;American Stock Exchange Building;86 Trinity Place New York, NY 10006, Lower Manhattan;10006;40.7085213;-74.01264379999999;4.0
334;Pier 40;353 West St Manhattan, NY 10014, Greenwich Village;10014;40.7292334;-74.011664;4.5
335;Long Island City Partnership;mail: 27-01 Queens Plaza North, 9th fl. Queens, NY 11101, Long Island City;11101;40.7506004;-73.9384906;0.0
336;The Great Hall, Cooper Union;7 East 7th Street Manhattan, NY 10003, East Village;10003;40.7291023;-73.9904741;4.4
337;Czech Center New York;321 E 73rd St Manhattan, NY, Upper East Side;10021;40.76908110000001;-73.95648039999999;4.7
338;The Malcolm X and Dr. Betty Shabazz Memorial & Educational Center;3940 Broadway Manhattan, NY, Harlem;10032;40.83929699999999;-73.9407459;4.0
339;79th Street Boat Basin;W 79th St and the Hudson River Manhattan, NY 10024, Upper West Side;10024;40.78597910000001;-73.9851444;4.5
340;New York City Center;"W. 55th St. betw. Sixth & Seventh Aves.; mail: 130 W. 56th St. Manhattan, NY 10019, Midtown West";10019;40.76394459999999;-73.97944009999999;4.7
341;Electric Lady Studios;52 W 8th St New York, NY 10011 West Village;10011;40.7332054;-73.9988374;4.6
342;Harlem Park to Park;mail: 134 W. 118th St., ground fl. Manhattan, NY 10026, Harlem;10026;40.8051111;-73.9531463;4.6
343;St. Bartholomew's Church;325 Park Ave Manhattan, NY, Midtown East;10022;40.7574631;-73.9733474;4.6
344;Kissena Golf Course;16415 Booth Memorial Ave Queens, NY 11365, Fresh Meadows;11365;40.7423532;-73.8000144;4.0
345;Riverside Park South;Henry Hudson Parkway at W. 70th St. Manhattan, NY 10023, Upper West Side;10023;;;
346;Poets House;10 River Terr. Manhattan, NY 10282, Battery Park City;10282;40.7160691;-74.01632769999999;4.7
